school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,17,R,GT3,T,2,2,other,health,home,father,2,1,0,no,yes,no,no,no,yes,yes,yes,4,5,5,1,3,3,6.0,15,15,15
GP,M,16,R,GT3,T,1,2,at_home,services,reputation,mother,1,1,1,no,yes,yes,no,yes,yes,no,no,4,3,5,1,3,5,5.0,12,11,11
GP,F,17,U,LE3,T,2,3,at_home,other,home,other,1,2,0,no,no,no,no,yes,yes,yes,yes,2,3,3,1,2,5,5.0,15,17,15
GP,F,15,U,LE3,A,1,1,at_home,health,reputation,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,3,5,1,2,5,6.0,15,14,16
GP,F,18,R,LE3,T,4,2,health,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,1,1.0,17,16,17
MS,F,18,U,GT3,T,3,2,health,services,course,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,5,3,4,1,3,3,2.0,17,18,17
MS,M,18,U,GT3,T,2,3,at_home,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,no,4,3,3,2,2,5,6.0,14,13,13
GP,F,17,U,GT3,T,1,0,other,teacher,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,3,1,1,5,1.0,13,13,13
GP,M,17,R,LE3,T,2,2,services,services,reputation,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,4,3,3,1,3,5,0.0,11,11,11
GP,M,18,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,no,yes,no,no,no,5,3,2,1,2,5,4.0,11,12,14
MS,M,15,U,GT3,T,3,3,health,other,home,other,1,3,0,no,no,no,yes,no,yes,yes,yes,4,3,4,1,3,5,10.0,12,11,11
MS,F,16,U,GT3,T,2,1,at_home,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,yes,2,5,5,1,1,5,6.0,9,9,11
GP,F,19,R,LE3,T,2,2,other,other,home,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,2,4,2,1,2,5,3.0,14,15,15
GP,F,15,U,GT3,T,4,4,other,at_home,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,2,1,3,1,0.0,12,13,13
MS,F,16,U,LE3,T,1,1,health,health,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,4,3,2,1,2,4,4.0,8,8,9
MS,M,16,U,GT3,T,3,3,health,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,yes,4,4,2,5,5,5,5.0,12,11,12
MS,M,15,U,GT3,T,1,3,other,services,course,mother,1,1,1,no,no,no,no,yes,yes,no,yes,1,1,3,1,2,3,8.0,12,9,11
GP,F,16,U,GT3,T,4,1,teacher,services,course,mother,1,1,1,no,yes,no,no,no,yes,yes,yes,3,4,5,3,4,3,5.0,9,10,10
MS,M,20,U,GT3,T,1,0,at_home,other,course,father,2,1,0,no,yes,no,yes,no,yes,no,yes,3,4,5,5,5,5,9.0,11,10,10
GP,F,16,R,LE3,T,4,4,services,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,1,2,2,4,0.0,14,14,14
GP,F,16,U,GT3,T,1,2,other,teacher,course,father,2,4,0,no,no,no,yes,yes,yes,yes,yes,4,2,1,1,1,3,6.0,13,14,14
MS,F,18,U,GT3,T,4,4,health,at_home,home,mother,2,1,0,no,no,no,no,yes,no,no,yes,5,3,2,1,1,3,0.0,8,9,10
GP,F,18,U,GT3,T,4,3,other,services,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,2,1,5.0,14,15,15
GP,M,18,U,GT3,T,4,4,services,at_home,home,mother,1,2,0,no,no,no,yes,yes,yes,no,yes,5,3,4,1,1,3,1.0,10,11,11
GP,F,17,R,LE3,T,4,4,services,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,4,1.0,15,15,15
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,2,1,0.0,13,14,15
MS,F,16,U,LE3,T,4,3,other,at_home,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,1,1,5,1.0,13,15,16
MS,F,18,R,GT3,T,1,1,at_home,other,course,father,2,1,0,no,yes,no,yes,yes,yes,no,yes,5,2,1,1,1,5,1.0,7,0,0
GP,F,16,R,GT3,T,2,1,other,at_home,course,mother,3,1,0,no,yes,no,no,yes,yes,no,no,4,2,2,4,1,4,3.0,10,11,9
GP,M,15,U,GT3,A,2,2,services,services,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,3,0.0,15,17,17
MS,F,17,U,GT3,A,3,2,health,services,reputation,mother,2,3,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,2,3,1,1.0,17,18,18
MS,F,18,R,GT3,T,3,2,services,other,home,mother,2,1,1,no,no,no,no,yes,no,yes,no,2,3,1,1,1,4,1.0,4,0,0
GP,M,15,R,GT3,T,2,3,other,other,other,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,5,3,3,1,1,4,1.0,13,12,15
MS,F,16,R,GT3,T,1,1,other,other,course,mother,3,3,1,no,yes,no,no,yes,yes,no,yes,5,2,1,1,3,3,1.0,10,8,9
MS,M,17,R,GT3,T,1,1,other,other,other,mother,1,1,3,yes,no,no,yes,yes,no,yes,yes,3,2,1,1,4,3,9.0,8,9,8
GP,F,16,R,GT3,A,2,3,at_home,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,4,1,1,3,4,3.0,12,12,12
GP,F,17,R,GT3,A,2,1,other,other,course,mother,3,3,0,no,no,no,no,yes,yes,no,yes,4,2,4,2,2,1,9.0,11,15,15
GP,M,17,U,GT3,A,3,1,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,2,1,1,4,1.0,15,12,13
MS,F,16,R,GT3,T,1,1,at_home,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,4,3,2,2,2,5,6.0,6,8,8
GP,F,15,U,GT3,T,2,1,at_home,other,course,mother,1,4,0,no,yes,no,yes,no,yes,yes,no,4,4,5,1,1,3,6.0,14,12,14
GP,M,15,R,GT3,A,2,1,services,other,course,mother,3,2,0,no,no,no,yes,yes,yes,yes,yes,5,2,3,1,1,1,1.0,15,14,15
GP,F,17,R,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,no,no,yes,no,yes,yes,no,4,4,3,1,2,1,4.0,14,14,15
GP,F,18,U,GT3,T,4,3,teacher,at_home,reputation,other,1,1,0,yes,no,no,yes,no,yes,yes,no,4,2,4,1,1,1,4.0,7,8,10
GP,F,15,R,LE3,T,2,2,services,other,course,mother,1,1,0,yes,no,no,yes,yes,yes,yes,yes,3,5,5,1,1,3,2.0,11,10,11
MS,F,16,U,LE3,T,3,3,other,at_home,reputation,father,1,2,0,no,no,no,no,yes,no,yes,yes,3,3,2,1,1,5,0.0,8,10,10
GP,F,18,R,GT3,T,2,2,other,other,course,mother,1,1,1,no,yes,yes,no,yes,yes,yes,yes,4,5,2,2,2,2,4.0,8,7,8
MS,M,18,R,GT3,A,2,1,services,other,other,mother,1,1,0,no,no,yes,yes,no,yes,no,yes,4,3,5,3,5,3,3.0,8,10,10
GP,F,17,U,GT3,T,1,3,at_home,other,course,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,4,3,1,1,2,2.0,17,17,17
GP,F,16,U,GT3,T,1,1,services,services,reputation,mother,2,3,1,no,yes,no,yes,yes,yes,yes,yes,4,1,2,3,4,2,5.0,7,10,10
MS,M,17,U,GT3,T,1,1,other,other,home,mother,2,2,1,yes,no,yes,yes,yes,yes,yes,yes,4,3,2,1,3,3,9.0,8,8,9
GP,F,17,U,GT3,T,4,4,health,other,other,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,3,1,1.0,12,11,11
GP,F,15,U,GT3,T,1,2,other,services,course,mother,1,1,1,yes,yes,yes,no,no,yes,yes,yes,4,3,4,1,1,3,5.0,6,8,8
GP,F,16,R,GT3,T,4,2,services,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,3,2,1,3,5,2,3.0,13,14,14
GP,F,18,R,GT3,A,3,2,other,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,4,1,1,5,6.0,15,14,15
GP,F,18,R,GT3,A,1,0,other,services,home,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4,3,2,1,1,4,16.0,12,10,10
MS,F,17,U,GT3,T,1,2,at_home,other,course,mother,1,1,0,no,no,no,yes,yes,yes,no,yes,1,1,2,1,1,3,2.0,10,11,12
GP,F,16,U,GT3,T,2,2,other,other,home,mother,2,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,3,5,4.0,12,12,13
MS,F,17,R,GT3,T,3,2,services,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,3,1.0,11,11,11
GP,F,16,U,LE3,T,4,2,health,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,3,2,1,1,2,0.0,14,13,14
GP,F,19,U,GT3,T,2,2,other,services,course,father,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,4,1,1,5,9.0,10,10,10
GP,M,15,U,GT3,T,2,2,other,other,home,father,1,3,0,no,yes,no,no,yes,yes,yes,no,5,2,2,1,2,5,1.0,14,12,11
MS,F,16,U,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,2,1.0,10,9,10
MS,M,17,U,GT3,T,1,1,other,at_home,other,mother,2,2,1,no,yes,yes,no,yes,no,yes,yes,5,5,5,2,5,3,1.0,8,8,0
MS,M,16,U,LE3,T,1,1,other,services,other,mother,1,2,3,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,2,2.0,10,9,10
GP,F,16,U,GT3,T,1,1,at_home,other,reputation,mother,4,2,3,no,yes,no,yes,yes,yes,yes,no,4,4,2,3,4,5,4.0,9,11,11
GP,F,15,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,2,2,2,1,1,5,9.0,15,15,16
GP,M,18,U,GT3,T,4,3,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,2,2,1,11.0,12,15,15
MS,M,17,U,GT3,T,1,1,other,services,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,1,3.0,15,17,15
GP,F,15,U,LE3,T,4,3,health,other,other,mother,1,4,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,3,3,1.0,13,15,15
MS,F,15,U,GT3,T,2,2,at_home,services,other,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,5,1,2,1,1.0,11,13,13
GP,F,16,R,LE3,T,3,2,at_home,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,no,no,5,1,4,2,2,2,5.0,14,17,17
GP,F,18,R,GT3,T,1,1,other,health,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,5,1,5,2,3.0,15,14,15
MS,M,18,U,GT3,T,2,1,other,other,course,mother,1,1,3,no,yes,no,yes,no,yes,no,yes,5,1,1,5,5,2,9.0,7,6,7
GP,M,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,no,no,no,yes,yes,yes,no,5,4,4,3,4,5,12.0,12,13,14
GP,M,18,U,GT3,A,4,1,health,other,reputation,mother,1,2,0,no,no,no,no,no,yes,yes,yes,4,3,1,1,2,5,11.0,12,13,14
MS,M,17,U,GT3,T,3,3,other,at_home,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,2,3,1,0.0,10,12,12
MS,M,17,R,LE3,T,1,1,other,other,course,father,3,3,0,no,no,no,no,yes,yes,yes,yes,5,5,3,1,2,4,3.0,10,9,10
MS,M,16,R,LE3,T,1,2,at_home,other,course,mother,3,2,0,no,no,no,no,yes,no,yes,no,5,3,2,1,4,4,2.0,9,8,8
MS,M,17,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,1,3,2.0,8,10,11
GP,M,18,R,LE3,T,3,4,other,other,home,mother,2,2,0,no,yes,no,no,yes,yes,no,yes,3,3,3,1,1,5,3.0,10,10,9
MS,F,15,U,GT3,T,4,1,teacher,services,course,mother,2,4,1,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,1.0,10,8,8
MS,F,17,U,GT3,T,1,4,at_home,services,course,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,3,2,2,1,3,5,1.0,8,7,8
GP,M,15,R,GT3,T,2,2,at_home,at_home,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,5,4,4,4,5,0.0,10,11,11
MS,F,16,U,LE3,T,3,1,services,services,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,2,5,0.0,9,8,9
GP,F,18,R,GT3,T,1,1,other,at_home,course,other,1,1,1,no,no,no,yes,no,no,no,yes,4,4,3,1,2,1,27.0,7,8,8
MS,F,17,U,LE3,T,3,3,other,other,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,2,5,0.0,12,11,11
GP,M,15,U,GT3,T,4,4,health,other,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,1,1,1.0,16,17,17
MS,F,15,R,GT3,T,1,0,at_home,other,reputation,father,1,1,0,no,yes,yes,yes,yes,yes,no,no,3,4,2,1,1,1,5.0,12,13,12
MS,F,17,U,LE3,T,4,4,teacher,services,course,mother,1,1,1,no,no,yes,no,yes,yes,yes,yes,4,3,3,1,5,4,2.0,13,11,11
MS,M,18,R,LE3,T,3,2,at_home,other,other,other,3,2,0,yes,yes,no,no,yes,no,no,yes,3,4,5,2,5,3,25.0,14,11,11
MS,F,17,U,LE3,T,2,2,at_home,services,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,1,5,5.0,10,10,10
GP,F,19,U,GT3,T,3,3,other,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,4,5,1,2,5,1.0,12,11,14
GP,F,18,R,GT3,T,3,3,at_home,other,course,mother,2,2,0,no,yes,no,no,yes,yes,no,no,5,4,4,1,2,4,3.0,12,12,12
GP,F,15,U,GT3,T,1,1,at_home,other,home,mother,1,3,2,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,2,1.0,12,12,13
GP,F,15,U,LE3,T,4,3,other,services,course,mother,1,2,2,no,yes,no,no,no,yes,yes,no,4,3,4,2,3,5,1.0,14,15,15
MS,F,19,U,GT3,T,2,1,health,other,course,mother,1,2,0,no,no,no,no,no,no,yes,no,4,5,5,1,1,5,4.0,8,9,10
GP,F,16,U,LE3,T,1,2,at_home,other,home,father,1,1,0,yes,yes,no,no,yes,yes,yes,yes,5,4,4,1,1,5,5.0,12,11,12
MS,F,15,U,GT3,T,4,4,services,services,home,mother,1,4,0,no,yes,no,yes,yes,no,yes,no,5,3,3,1,1,5,3.0,12,16,16
GP,F,18,U,GT3,A,1,2,other,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,0.0,16,17,17
GP,F,17,U,LE3,T,1,1,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,1,2,1,1,5,2.0,13,13,13
GP,F,15,U,LE3,T,1,1,at_home,other,course,mother,2,2,0,no,no,no,no,yes,yes,no,no,5,3,3,1,3,1,0.0,12,13,13
GP,M,19,R,GT3,T,1,4,other,other,course,other,1,3,0,no,yes,no,no,yes,no,no,no,1,4,5,2,3,5,11.0,10,10,11
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,4,1,1,1,2.0,14,14,15
GP,F,17,R,GT3,T,2,2,other,services,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,1,4,1.0,16,14,17
GP,F,16,U,GT3,T,2,3,at_home,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,1,1,1,2,17.0,9,10,10
GP,F,16,U,GT3,T,3,2,other,services,reputation,other,2,2,0,no,no,no,yes,no,yes,no,yes,4,2,4,1,5,5,0.0,14,14,15
GP,F,18,U,GT3,T,3,3,at_home,services,course,father,1,2,0,no,no,no,no,yes,yes,no,no,4,3,3,1,3,4,1.0,12,12,13
GP,M,18,U,GT3,T,4,2,teacher,other,reputation,mother,2,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,1,2,5,0.0,18,18,18
MS,F,17,U,GT3,T,1,1,other,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,1,2,5,8.0,8,8,8
MS,M,15,U,GT3,T,1,1,other,services,home,father,1,3,0,no,no,yes,yes,yes,yes,no,no,4,3,2,1,1,5,0.0,10,11,11
GP,M,16,R,GT3,T,4,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,4,4,5,5,4,4.0,10,11,11
GP,M,16,R,GT3,A,1,1,at_home,other,home,father,2,3,0,no,yes,no,no,yes,yes,no,yes,2,4,3,1,1,3,1.0,14,15,15
GP,F,15,R,GT3,T,3,1,at_home,services,course,mother,2,2,0,yes,yes,no,no,no,yes,yes,no,4,3,3,2,3,4,0.0,11,12,12
MS,M,18,U,GT3,T,1,1,at_home,other,course,mother,1,1,0,yes,no,no,no,no,no,yes,no,4,5,2,4,3,3,10.0,10,11,10
MS,F,18,U,GT3,T,3,3,health,other,course,mother,4,2,0,no,yes,no,no,yes,no,yes,yes,5,3,2,2,4,4,2.0,9,9,10
GP,M,17,U,LE3,T,2,2,services,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,5,3,3,1,3,3,15.0,13,13,12
GP,F,19,U,LE3,T,2,2,services,other,reputation,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,4,4,2,1,2,3,18.0,11,11,10
GP,M,16,U,GT3,T,2,4,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,1,5,0.0,11,12,13
MS,M,17,U,GT3,T,4,2,teacher,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,3,4,5,3,5,3,5.0,9,9,10
GP,F,17,R,LE3,T,1,1,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,2,2,3,1,1,2,3.0,14,17,17
MS,F,19,U,GT3,T,2,3,at_home,other,course,other,1,1,0,yes,no,no,yes,no,no,no,yes,4,5,5,2,2,4,1.0,9,9,9
MS,F,16,U,LE3,T,4,3,other,teacher,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,2,2,5,1.0,13,14,15
MS,F,18,R,GT3,T,3,3,other,other,course,mother,3,3,1,no,yes,no,yes,yes,yes,no,yes,5,5,2,2,2,3,2.0,10,11,10
GP,M,18,R,GT3,T,2,3,other,other,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,3,4,5,1.0,13,15,16
GP,M,16,R,GT3,T,4,2,teacher,services,course,mother,1,2,0,no,yes,no,yes,yes,no,yes,no,1,4,4,3,3,3,2.0,11,9,10
GP,F,15,U,GT3,T,2,2,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,no,no,no,3,2,1,1,1,3,0.0,14,12,13
MS,F,15,U,LE3,T,2,2,services,services,course,father,4,3,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,1,3,3,3.0,10,10,10
GP,F,18,U,LE3,T,2,1,other,health,reputation,father,2,4,0,no,yes,no,yes,no,yes,yes,no,4,2,5,2,3,3,6.0,15,15,16
MS,F,16,U,LE3,T,2,1,other,other,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,4,5,2,2.0,15,14,14
MS,F,17,R,LE3,T,4,2,health,services,course,mother,2,2,0,no,yes,no,yes,yes,yes,no,yes,3,4,5,2,3,5,0.0,8,9,9
GP,F,16,U,LE3,T,1,1,at_home,other,course,mother,1,3,0,no,no,no,yes,no,no,yes,yes,3,3,5,1,1,2,1.0,9,10,10
MS,M,17,U,GT3,T,1,0,other,other,course,mother,3,2,0,yes,yes,no,yes,yes,yes,yes,no,3,3,2,2,3,5,2.0,10,9,10
GP,F,18,R,GT3,T,1,1,services,other,home,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,3,1,1,3,4,3,3.0,10,13,13
GP,F,19,R,LE3,A,2,2,at_home,services,reputation,mother,2,1,0,no,no,no,yes,yes,no,no,yes,3,4,4,5,2,5,6.0,7,8,10
GP,M,17,U,GT3,T,4,2,services,other,course,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,3,3,3,3,5,4,2.0,13,12,11
GP,F,18,U,GT3,T,2,2,other,other,course,father,1,4,0,no,no,no,no,yes,yes,no,no,5,4,4,1,1,3,3.0,10,11,11
GP,F,17,U,GT3,T,3,2,services,services,course,mother,1,1,1,no,yes,no,no,yes,yes,no,yes,5,4,3,2,1,1,1.0,10,8,8
GP,M,18,U,GT3,T,2,1,other,services,course,father,1,2,0,no,no,yes,no,yes,no,yes,yes,5,5,2,1,5,2,16.0,8,7,8
MS,M,18,U,GT3,A,2,3,at_home,services,course,mother,1,3,2,no,yes,no,yes,no,yes,yes,no,5,4,5,1,2,3,5.0,7,9,10
GP,M,15,R,GT3,T,4,4,teacher,other,course,father,1,2,0,yes,no,no,no,yes,yes,yes,no,3,1,2,1,1,3,1.0,13,13,13
MS,M,17,U,GT3,T,1,1,at_home,services,home,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,3,3,3,5,3,2.0,9,8,9
GP,M,20,R,GT3,T,3,2,other,other,reputation,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,3,4,3,5,5,3,12.0,8,9,10
GP,F,17,U,GT3,T,2,3,other,other,reputation,father,1,3,0,no,yes,no,no,yes,yes,yes,no,1,2,2,1,2,5,0.0,15,16,17
MS,F,16,U,GT3,A,2,2,other,other,home,mother,1,2,0,no,yes,no,yes,no,yes,no,no,3,3,5,2,3,3,1.0,13,12,13
GP,F,16,U,GT3,T,2,2,at_home,other,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,yes,5,1,5,1,1,1,4.0,10,13,13
GP,F,17,R,LE3,T,4,4,teacher,other,course,father,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,2,4,1,3,5,0.0,11,11,12
GP,M,17,R,GT3,T,1,2,at_home,other,home,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,1,2,2,2,4,0.0,13,14,13
GP,M,18,U,GT3,A,3,2,services,other,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,3,5,10.0,14,11,11
GP,F,15,U,LE3,T,2,1,other,other,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,3,2,3,3,4,4,2.0,11,10,11
GP,F,18,U,GT3,T,2,2,other,other,other,mother,2,2,0,no,no,no,yes,yes,yes,no,yes,3,3,2,1,1,4,2.0,15,14,14
GP,M,16,R,LE3,T,1,2,other,services,other,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,5,5,2,5,5,5,0.0,10,11,11
