school,failures,higher,traveltime,famrel,G3
GP,0,yes,1,4,12
GP,0,yes,2,3,13
GP,0,yes,2,3,11
GP,0,yes,1,4,12
GP,0,yes,1,5,13
GP,0,yes,1,5,13
GP,0,yes,1,4,8
GP,0,yes,1,4,16
GP,0,yes,1,5,12
GP,0,yes,2,4,10
GP,0,yes,1,5,16
GP,0,yes,1,4,10
GP,0,yes,1,5,10
GP,0,yes,1,5,14
GP,0,yes,4,1,11
GP,0,yes,1,5,14
GP,0,yes,1,5,14
GP,0,yes,1,4,11
GP,1,yes,1,3,10
GP,0,yes,1,3,18
GP,0,yes,1,5,10
GP,0,yes,1,5,14
GP,0,yes,2,4,16
GP,0,yes,2,5,15
GP,1,yes,3,5,11
GP,0,yes,1,3,14
GP,0,yes,1,3,14
GP,0,yes,1,5,13
GP,0,yes,2,4,13
GP,0,yes,1,3,13
GP,0,yes,1,5,11
GP,0,yes,1,5,9
GP,0,yes,1,5,11
GP,2,no,1,3,11
GP,0,yes,1,3,15
GP,0,yes,2,3,13
GP,0,yes,2,4,12
GP,3,no,1,5,8
GP,0,yes,3,3,11
GP,0,yes,3,4,13
GP,0,yes,1,3,12
GP,0,yes,1,3,14
GP,0,yes,4,3,11
GP,1,yes,1,5,11
GP,0,yes,4,5,11
GP,0,yes,1,4,15
GP,0,yes,3,5,10
GP,0,yes,4,5,13
GP,0,yes,2,3,12
GP,0,yes,1,4,11
GP,0,yes,2,3,11
GP,0,yes,2,4,10
GP,2,yes,1,4,10
GP,0,yes,2,4,14
GP,1,yes,3,5,9
GP,0,yes,2,2,11
GP,0,yes,1,1,9
GP,0,yes,1,5,13
GP,0,yes,2,2,11
GP,0,yes,1,4,13
GP,0,yes,1,3,11
GP,0,yes,1,5,6
GP,0,yes,1,4,12
GP,0,no,2,4,10
GP,1,yes,1,3,11
GP,0,yes,1,4,13
GP,0,yes,1,2,11
GP,0,no,1,3,8
GP,0,yes,4,4,11
GP,2,no,1,2,0
GP,1,yes,1,4,10
GP,0,yes,2,4,13
GP,0,no,1,4,11
GP,0,yes,1,4,13
GP,0,yes,1,4,8
GP,3,yes,1,2,10
GP,3,yes,3,5,11
GP,0,yes,3,4,11
GP,1,yes,1,4,1
GP,2,yes,2,4,10
GP,1,no,2,3,9
GP,2,yes,2,4,8
GP,0,yes,2,4,10
GP,1,no,1,5,8
GP,0,no,4,5,8
GP,3,no,2,4,8
GP,0,no,1,4,11
GP,0,yes,1,4,18
GP,0,yes,1,5,13
GP,0,yes,1,4,17
GP,1,yes,3,3,10
GP,0,yes,2,4,18
GP,0,yes,1,4,10
GP,0,yes,1,4,13
GP,0,yes,2,4,15
GP,0,yes,2,4,11
GP,0,yes,2,3,14
GP,0,yes,1,4,10
GP,0,yes,1,4,11
GP,0,yes,1,5,13
GP,0,yes,1,3,11
GP,0,yes,1,4,13
GP,0,yes,1,5,17
GP,0,yes,1,5,14
GP,0,yes,1,1,16
GP,0,yes,1,4,14
GP,0,yes,1,3,11
GP,0,yes,1,4,16
GP,0,yes,1,3,14
GP,0,yes,1,3,10
GP,0,yes,1,4,13
GP,0,yes,1,5,12
GP,0,yes,2,4,12
GP,0,yes,1,4,10
GP,0,yes,2,5,12
GP,0,yes,1,4,16
GP,0,yes,1,5,14
GP,0,yes,3,3,12
GP,1,yes,2,4,16
GP,0,yes,1,4,11
GP,0,yes,1,4,15
GP,0,yes,1,4,12
GP,0,yes,1,4,15
GP,0,yes,1,5,13
GP,0,yes,2,5,13
GP,1,yes,1,4,8
GP,0,yes,1,2,12
GP,0,yes,1,1,15
GP,0,yes,2,4,13
GP,0,yes,2,4,12
GP,0,yes,1,4,12
GP,0,yes,1,5,12
GP,0,yes,1,3,13
GP,0,yes,1,4,11
GP,0,yes,1,5,11
GP,0,yes,2,4,15
GP,0,yes,1,3,10
GP,0,yes,1,3,10
GP,0,yes,2,3,13
GP,0,yes,1,4,13
GP,0,yes,2,4,11
GP,0,yes,1,4,12
GP,0,yes,1,2,14
GP,3,yes,2,3,10
GP,0,yes,1,5,16
GP,0,yes,1,5,8
GP,0,yes,1,5,17
GP,0,yes,1,5,11
GP,0,yes,4,4,11
GP,0,yes,2,3,16
GP,0,yes,1,3,12
GP,0,yes,2,4,13
GP,0,yes,1,4,13
GP,0,yes,1,4,14
GP,0,yes,2,3,9
GP,0,yes,2,5,12
GP,0,yes,1,4,16
GP,0,yes,1,4,10
GP,0,yes,1,5,13
GP,1,yes,2,4,10
GP,1,yes,1,5,10
GP,1,no,2,4,7
GP,1,no,1,4,8
GP,0,yes,1,4,9
GP,0,yes,1,5,15
GP,0,yes,1,4,10
GP,0,no,1,5,11
GP,0,yes,3,2,13
GP,1,yes,4,5,8
GP,0,no,1,5,8
GP,1,no,1,3,10
GP,0,yes,2,4,15
GP,0,yes,1,4,14
GP,0,yes,2,2,15
GP,0,yes,2,3,12
GP,0,yes,1,5,15
GP,0,yes,1,5,15
GP,0,yes,1,5,12
GP,0,yes,2,4,15
GP,0,yes,2,4,11
GP,0,yes,1,4,10
GP,0,yes,2,4,11
GP,0,yes,3,4,16
GP,0,yes,1,4,11
GP,0,yes,2,5,13
GP,3,no,1,5,5
GP,0,yes,1,4,10
GP,0,yes,1,4,11
GP,0,no,2,4,7
GP,1,yes,3,5,10
GP,2,no,1,3,6
GP,0,yes,2,3,12
GP,0,yes,1,4,13
GP,1,yes,2,4,10
GP,0,yes,1,4,13
GP,0,yes,1,4,17
GP,0,yes,1,4,11
GP,1,no,3,4,11
GP,0,yes,1,4,14
GP,0,yes,1,4,14
GP,0,yes,1,3,13
GP,0,yes,1,4,14
GP,0,yes,1,5,16
GP,0,no,2,5,10
GP,0,yes,1,3,12
GP,0,no,2,1,12
GP,0,yes,1,3,15
GP,0,yes,1,4,11
GP,0,yes,1,5,12
GP,0,yes,1,3,13
GP,0,yes,1,4,13
GP,0,no,2,4,9
GP,0,yes,2,4,16
GP,0,yes,1,5,14
GP,0,yes,2,4,12
GP,0,yes,1,5,14
GP,0,no,2,4,10
GP,0,yes,1,4,12
GP,0,yes,1,4,16
GP,0,yes,2,4,13
GP,0,yes,1,3,18
GP,0,yes,1,4,15
GP,0,yes,2,4,16
GP,0,yes,2,4,12
GP,0,no,2,4,10
GP,0,yes,2,3,12
GP,1,yes,1,2,13
GP,0,yes,3,4,15
GP,1,no,1,3,10
GP,0,yes,2,4,10
GP,0,no,2,3,11
GP,0,yes,2,4,10
GP,0,yes,1,4,13
GP,0,yes,2,5,18
GP,0,yes,2,5,13
GP,0,yes,1,5,14
GP,0,yes,2,4,14
GP,0,yes,1,4,12
GP,0,yes,1,4,18
GP,0,yes,1,4,14
GP,0,yes,1,4,15
GP,0,yes,1,5,17
GP,0,yes,1,4,16
GP,0,yes,1,4,18
GP,0,yes,2,3,19
GP,0,yes,2,5,15
GP,0,yes,1,4,15
GP,0,yes,2,2,13
GP,0,yes,2,4,14
GP,0,yes,1,4,17
GP,0,yes,1,1,17
GP,0,yes,1,4,15
GP,0,yes,2,4,13
GP,0,yes,2,5,8
GP,0,yes,2,4,16
GP,0,yes,1,5,18
GP,1,yes,2,4,11
GP,2,yes,1,5,15
GP,0,yes,1,4,11
GP,0,yes,1,3,11
GP,0,yes,2,5,15
GP,0,yes,2,4,14
GP,0,yes,1,4,17
GP,0,yes,1,4,17
GP,0,yes,2,3,15
GP,0,yes,1,4,17
GP,0,yes,1,4,14
GP,0,yes,2,5,10
GP,0,yes,1,4,13
GP,0,yes,1,5,14
GP,0,yes,1,5,17
GP,0,yes,1,5,17
GP,0,yes,1,5,13
GP,0,yes,1,4,14
GP,0,yes,1,4,11
GP,0,no,3,1,11
GP,2,yes,3,5,9
GP,0,yes,1,4,10
GP,0,yes,1,4,13
GP,0,yes,1,3,10
GP,0,yes,1,3,17
GP,0,yes,2,3,15
GP,0,yes,2,4,14
GP,0,yes,1,4,13
GP,0,yes,1,4,17
GP,0,yes,4,4,10
GP,0,yes,1,5,13
GP,0,yes,2,4,15
GP,0,yes,1,4,11
GP,0,yes,1,4,12
GP,0,yes,1,5,10
GP,0,yes,4,4,10
GP,0,yes,1,4,15
GP,0,yes,1,5,15
GP,0,yes,1,5,12
GP,0,yes,1,4,12
GP,0,yes,2,4,14
GP,0,yes,1,4,14
GP,0,yes,1,4,15
GP,0,yes,1,5,15
GP,0,yes,1,4,16
GP,0,yes,1,4,13
GP,0,yes,1,4,17
GP,0,yes,1,3,14
GP,0,yes,1,4,14
GP,0,yes,1,5,17
GP,0,yes,1,5,17
GP,0,yes,1,5,14
GP,0,yes,1,4,13
GP,0,yes,2,4,15
GP,0,yes,1,4,16
GP,1,no,2,2,11
GP,1,yes,1,4,13
GP,2,yes,1,3,12
GP,0,no,1,4,12
GP,0,yes,1,4,15
GP,0,yes,1,4,17
GP,0,yes,1,4,15
GP,0,yes,1,4,17
GP,2,no,2,5,10
GP,0,yes,2,3,15
GP,1,yes,1,3,11
GP,0,yes,1,4,18
GP,0,yes,1,4,17
GP,0,yes,1,3,14
GP,0,yes,1,5,11
GP,0,yes,2,4,17
GP,1,yes,2,5,10
GP,0,yes,1,3,13
MS,0,no,2,4,11
MS,0,yes,2,4,12
MS,1,yes,1,4,10
MS,0,yes,2,5,11
MS,0,yes,2,4,17
MS,0,no,2,1,9
MS,0,yes,1,5,11
MS,0,yes,1,4,11
MS,1,yes,1,4,10
MS,1,no,1,5,7
MS,0,yes,2,1,14
MS,0,no,2,1,11
MS,0,yes,2,5,10
MS,1,yes,2,4,8
MS,0,yes,2,3,12
MS,0,yes,2,5,12
MS,0,yes,2,4,16
MS,0,yes,2,5,0
MS,0,yes,1,4,9
MS,0,yes,1,5,14
MS,0,yes,1,5,8
MS,0,yes,3,3,11
MS,0,yes,4,5,9
MS,0,yes,1,5,11
MS,0,no,3,5,9
MS,0,yes,2,4,17
MS,0,yes,2,5,13
MS,0,yes,3,4,15
MS,0,yes,2,4,11
MS,0,yes,3,4,11
MS,1,yes,1,1,8
MS,1,yes,1,1,8
MS,0,yes,1,4,9
MS,0,yes,1,5,15
MS,0,yes,1,5,11
MS,0,yes,4,4,13
MS,0,yes,4,4,10
MS,0,yes,2,4,11
MS,0,yes,2,4,14
MS,0,yes,3,4,14
MS,0,yes,1,4,12
MS,0,yes,2,3,11
MS,1,yes,1,3,8
MS,0,yes,2,3,11
MS,0,yes,3,5,14
MS,0,yes,3,4,13
MS,0,yes,1,4,13
MS,0,yes,1,4,12
MS,1,yes,2,4,12
MS,0,yes,3,4,16
MS,0,yes,2,2,10
MS,0,yes,3,4,11
MS,0,yes,2,5,14
MS,0,yes,1,5,8
MS,0,yes,2,4,11
MS,3,yes,2,3,8
MS,0,no,1,4,10
MS,1,no,1,4,10
MS,0,no,3,5,11
MS,0,no,2,5,9
MS,0,no,3,3,11
MS,0,no,1,4,8
MS,0,yes,2,4,11
MS,1,yes,1,4,10
MS,2,no,2,3,10
MS,1,no,1,5,9
MS,1,no,2,4,10
MS,1,no,2,3,10
MS,1,yes,2,1,9
MS,0,yes,1,3,10
MS,0,yes,2,2,10
MS,0,no,1,4,9
MS,0,no,1,4,13
MS,0,yes,1,4,14
MS,1,yes,2,5,10
MS,0,yes,1,5,14
MS,0,yes,1,4,16
MS,1,no,1,5,7
MS,0,yes,1,4,13
MS,1,yes,3,1,9
MS,0,yes,1,2,14
MS,0,yes,1,5,13
MS,0,yes,2,4,11
MS,1,yes,2,3,10
MS,0,yes,1,4,10
MS,1,yes,3,4,9
MS,0,yes,3,5,18
MS,0,yes,2,5,17
MS,0,yes,2,4,10
MS,1,yes,1,4,7
MS,0,yes,1,3,8
MS,0,yes,1,3,7
MS,0,yes,2,2,10
MS,0,yes,1,4,16
MS,0,yes,2,5,15
MS,1,yes,1,2,8
MS,0,yes,2,5,0
MS,0,yes,3,4,8
MS,0,yes,2,3,10
MS,0,yes,1,4,8
MS,0,no,1,5,6
MS,0,yes,3,4,8
MS,0,yes,1,4,16
MS,0,yes,1,4,14
MS,0,yes,4,5,10
MS,0,yes,1,5,9
MS,0,yes,2,5,11
MS,0,yes,1,4,9
MS,0,yes,3,5,10
MS,0,yes,2,4,8
MS,0,yes,1,3,16
MS,0,yes,1,4,12
MS,0,yes,3,5,10
MS,0,yes,3,5,14
MS,0,yes,1,4,12
MS,0,yes,1,4,11
MS,0,yes,2,1,10
MS,0,yes,2,4,11
MS,0,yes,2,5,11
MS,0,yes,2,5,12
MS,3,yes,3,3,8
MS,0,yes,2,5,12
MS,1,yes,1,5,8
MS,0,yes,1,5,16
MS,0,yes,1,4,11
MS,0,yes,1,4,11
MS,0,yes,2,4,18
MS,0,yes,2,4,13
MS,0,yes,2,4,13
MS,2,no,1,4,10
MS,0,yes,1,4,12
MS,0,no,2,3,10
MS,0,yes,1,4,13
MS,0,yes,1,4,11
MS,3,yes,2,5,10
MS,0,no,2,5,10
MS,1,yes,3,4,13
MS,0,yes,2,4,10
MS,0,yes,2,4,10
MS,0,yes,1,5,12
MS,1,yes,1,1,0
MS,0,yes,2,4,10
MS,0,yes,2,4,9
MS,1,no,2,5,9
MS,1,no,1,2,0
MS,3,yes,2,3,9
MS,2,no,1,4,8
MS,0,yes,2,5,8
MS,3,no,2,4,9
MS,2,yes,2,2,7
MS,0,yes,1,4,10
MS,1,no,2,4,10
MS,0,yes,1,5,10
MS,0,yes,2,2,11
MS,1,yes,3,5,11
MS,1,yes,2,4,10
MS,0,no,1,4,9
MS,1,yes,3,4,10
MS,2,yes,2,4,8
MS,0,no,1,1,7
MS,1,no,2,5,0
MS,0,yes,2,4,11
MS,0,no,2,4,8
MS,0,yes,1,5,0
MS,1,yes,1,2,8
MS,0,yes,1,3,9
MS,0,yes,1,5,10
MS,2,yes,3,3,7
MS,0,yes,2,4,14
MS,0,yes,2,4,13
MS,0,yes,2,4,14
MS,0,yes,2,4,18
MS,0,yes,1,5,17
MS,0,yes,2,4,18
MS,1,yes,3,4,0
MS,0,yes,2,4,11
MS,0,yes,3,2,14
MS,0,no,3,4,14
MS,0,yes,2,1,10
MS,0,yes,2,5,13
MS,0,yes,1,5,0
MS,1,no,3,4,10
MS,1,no,2,5,0
MS,0,yes,2,4,18
MS,0,yes,2,5,12
MS,0,yes,1,5,11
MS,0,no,2,4,12
MS,3,no,2,3,0
MS,0,yes,2,4,15
MS,1,yes,2,4,11
MS,0,yes,1,5,10
MS,0,yes,2,4,12
MS,0,yes,2,1,15
MS,0,yes,2,3,14
MS,0,yes,2,5,18
MS,0,yes,3,4,15
MS,0,yes,2,4,13
MS,0,yes,1,2,15
MS,0,yes,2,3,13
MS,0,yes,2,3,9
MS,0,yes,2,4,16
MS,1,yes,3,5,9
MS,0,yes,2,5,10
MS,0,yes,3,3,0
MS,0,no,3,4,10
MS,0,yes,1,3,12
MS,0,yes,1,3,9
MS,0,yes,2,5,17
MS,0,yes,4,4,12
MS,1,yes,2,4,9
MS,0,yes,1,5,14
MS,0,yes,1,4,16
MS,0,yes,1,4,9
MS,0,yes,1,3,19
MS,0,yes,2,4,0
MS,0,yes,2,4,16
MS,1,yes,2,4,0
MS,1,yes,2,5,0
MS,0,yes,2,5,15
MS,0,yes,2,5,11
MS,0,yes,3,4,10
MS,1,yes,1,5,10
MS,0,yes,1,4,16
MS,0,yes,2,1,9
MS,0,yes,2,2,10
MS,0,yes,3,4,11
