school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;17
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;7
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;17
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;9
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;16
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;16
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;12
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;9
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;yes;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;8
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;16
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;18
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;16
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;9
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;no;yes;yes;*;*;*;*;*;*;*;*;*;8
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;15
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;10
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;yes;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;9
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;9
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;6
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;no;yes;yes;*;*;*;*;*;*;*;*;*;8
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;no;yes;yes;*;*;*;*;*;*;*;*;*;0
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;yes;*;*;*;*;*;*;*;*;*;10
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;no;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;8
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;10
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;no;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;1
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;9
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;8
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;no;yes;no;*;*;*;*;*;*;*;*;*;8
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;no;no;yes;*;*;*;*;*;*;*;*;*;8
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;8
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;no;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;18
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;17
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;18
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;15
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;10
*;*;*;R;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;yes;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;17
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;14
